weight,time
25.29979316,28.90420706
60.80820663,24.31321703
10.5278037,31.83872607
37.46054034,26.89655454
74.43954766,27.47461359
44.15406201,26.75879655
15.33382125,32.75544805
10.14438503,35.39177371
61.64641411,25.84439626
42.05516529,24.64266133
42.89929168,25.17687869
37.10131067,22.01542514
25.37356298,26.51561533
63.41383219,26.71568004
52.14822636,24.79256722
33.96596244,26.79071729
26.71371197,26.01770793
31.07802294,25.59485409
18.43692721,29.54827459
33.42011989,25.17892784
10.55719338,33.41859872
16.59088953,28.63148538
16.94579683,32.19479821
29.26838295,28.44422171
29.69738598,25.10962964
32.62081551,27.70112135
52.0578633,21.39462282
49.06884297,25.82265429
46.12991232,24.91082646
33.8513206,22.63740003
40.56610802,25.33488094
15.89043538,30.65250295
31.21829789,24.30809773
32.00031581,27.83350651
61.24683014,24.43962107
17.14199459,31.96360412
42.95854897,24.35762918
20.38071269,30.14962506
33.45768359,23.55838584
27.38243223,24.78270696
34.20256187,28.23831069
40.35439883,24.538075
18.1263393,31.49886539
12.02207627,32.15961833
17.84347157,30.67808019
39.15647373,28.52655574
42.46271972,23.43217628
26.23321083,26.63907919
86.77669069,31.09214478
14.48777847,30.85105979
40.90882501,25.80265901
43.88746716,27.86629836
35.9986419,24.43531713
54.38048762,28.28118803
83.86069058,30.25800896
26.41642707,29.19080611
20.17629391,28.10556546
22.98948294,27.8500798
47.5445143,26.11344477
34.88413718,22.91930728
15.88784211,30.7231135
21.88812413,28.30039746
35.10792111,25.86950528
42.57903876,27.88590591
28.40905792,26.0585364
22.09955453,31.69932529
41.48227036,26.34322571
58.52761853,26.35083831
43.61495752,27.16527875
29.16795687,26.24713835
38.96735382,24.32356322
26.45070516,26.91734631
39.6087439,26.64799539
24.23861806,27.20835603
63.35196631,23.85135603
26.86486353,31.18563966
69.54475768,25.13051363
30.7293367,27.08399602
38.52064947,25.39259557
76.18701294,26.193776
35.70853151,26.65466658
60.46379804,26.86710129
25.33065743,27.98450907
34.16267714,24.88008196
43.96753876,24.3996993
45.55050927,22.14116194
30.82473977,27.33152761
25.06380426,27.3655096
44.67429116,25.53540113
30.20502255,26.47279353
45.39167862,26.65318444
40.86079688,25.57622812
37.00493921,29.83260057
24.03974863,28.75102865
55.30652192,24.98141745
52.79776502,23.44902489
43.27344556,25.45740067
41.64893007,23.80737768
47.04739827,25.77333051
78.76653839,27.40650328
